Word,Level
Angry,easy
Baby,easy
Beard,easy
Bible,easy
Bikini,easy
Book,easy
Bucket,easy
Bumblebee,easy
Butterfly,easy
Camera,easy
Cat,easy
Church,easy
Crayon,easy
Dolphin,easy
Egg,easy
EiffelTower,easy
Eyeball,easy
Fireworks,easy
Flower,easy
Flyingsaucer,easy
gel,easy
Giraffe,easy
Glasses,easy
Highheel,easy
Icecreamcone,easy
Igloo,easy
Ladybug,easy
Lamp,easy
Lion,easy
Mailbox,easy
Night,easy
Nose,easy
Olympics,easy
Peanut,easy
Pizza,easy
Pumpkin,easy
Rainbow,easy
Recycle,easy
Sandcastle,easy
Snowflake,easy
Stairs,easy
Starfish,easy
Strawberry,easy
Sun,easy
Tire,easy
Toast,easy
Toothbrush,easy
Toothpaste,easy
Truck,easy
Volleyball,easy
AbrahamLincoln,medium
Kiss,medium
Pigtails,medium
Brain,medium
Kitten,medium
Playground,medium
Bubblebath,medium
Kiwi,medium
Pumpkinpie,medium
Buckle,medium
Lipstick,medium
Raindrop,medium
Bus,medium
Lobster,medium
Robot,medium
Caraccident,medium
Lollipop,medium
Sandcastle,medium
Castle,medium
Magnet,medium
Slipper,medium
Chainsaw,medium
Megaphone,medium
Snowball,medium
Circustent,medium
Mermaid,medium
Sprinkler,medium
Computer,medium
Minivan,medium
StatueofLiberty,medium
Crib,medium
MountRushmore,medium
Tadpole,medium
Dragon,medium
Music,medium
Teepee,medium
Dumbbell,medium
Northpole,medium
Telescope,medium
Eel,medium
Nurse,medium
Train,medium
Ferriswheel,medium
Owl,medium
Tricycle,medium
Flag,medium
Pacifier,medium
Tutu,medium
Junkmail,medium
Piano,medium
Attic,hard
Backseat,hard
Birthday,hard
Blackhole,hard
Blizzard,hard
Burrito,hard
Captain,hard
Chandelier,hard
Crib,hard
Cruiseship,hard
Dance,hard
Deodorant,hard
Facebook,hard
Flat,hard
Frame,hard
Fullmoon,hard
Game,hard
Glue,hard
Highchair,hard
Hockey,hard
Hotel,hard
Jumprope,hard
Koala,hard
Leprechaun,hard
Light,hard
Mask,hard
Mechanic,hard
Mom,hard
MrPotatoHead,hard
Pantyhose,hard
Paperplate,hard
Photo,hard
Pilgram,hard
Pirate,hard
Pocketwatch,hard
Rockband,hard
Sasquatch,hard
Scrambledeggs,hard
Seatbelt,hard
Skip,hard
Solareclipse,hard
Space,hard
Stethoscope,hard
Stork,hard
Sunburn,hard
Thread,hard
Tourist,hard
WiFi,hard
Zombie,hard
